policy,mlpred,nclient,seed,avg_thp,qoe,avg_rtt
2,0,3,42,162054.40,0.10,27479.30
2,0,3,20,869144.67,0.17,32212.53
2,0,3,777,911669.33,0.18,34920.90
2,0,3,1000,79968.00,0.10,39993.80
2,0,3,7,1368118.00,0.31,41495.83
2,0,3,55,1790126.67,0.43,51675.30
2,0,3,84,1980466.67,0.48,60527.33
2,0,3,81,1117000.20,0.25,34177.63
2,0,3,6,3053546.67,1.00,85079.10
2,0,3,234,2622923.33,0.77,79382.83
2,1,3,42,82225.07,0.10,38804.07
2,1,3,777,1056172.00,0.21,38624.87
2,1,3,6,525939.00,0.13,26791.53
2,1,3,55,1424417.67,0.30,48530.27
2,1,3,7,1975840.00,0.49,56255.77
2,1,3,20,1823472.33,0.45,54780.73
2,1,3,84,2327726.67,0.64,69718.13
2,1,3,1000,79848.20,0.10,40015.80
2,1,3,234,2622923.33,0.77,79273.57
2,1,3,81,1561123.53,0.40,40555.23
2,0,4,777,592123.50,0.14,29082.55
2,0,4,55,820166.85,0.20,42663.28
2,0,4,20,387583.90,0.12,30105.38
2,0,4,6,1135926.00,0.24,40684.33
2,0,4,234,635611.50,0.14,29445.15
2,0,4,7,1748908.50,0.40,60100.62
2,0,4,42,1908858.75,0.45,61935.25
2,0,4,84,1577003.00,0.38,57490.03
2,0,4,1000,1540858.75,0.35,53240.70
2,0,4,81,3582772.50,1.33,117705.38
2,1,4,777,2734870.00,0.86,72073.40
2,1,4,55,524468.60,0.14,39682.07
2,1,4,42,2877975.00,0.91,93750.00
2,1,4,7,1084310.75,0.23,38772.90
2,1,4,20,1317140.90,0.30,45253.60
2,1,4,6,3689105.00,1.43,113389.23
2,1,4,84,1427726.75,0.32,52314.95
2,1,4,234,757152.25,0.16,34720.90
2,1,4,1000,1679213.00,0.38,54452.03
2,1,4,81,1967514.00,0.51,67335.88
2,0,5,20,473384.76,0.12,30744.02
2,0,5,777,672029.98,0.15,35778.54
2,0,5,84,292719.12,0.11,30194.66
2,0,5,6,981969.40,0.20,36788.14
2,0,5,234,499096.20,0.12,26505.02
2,0,5,7,1275118.78,0.28,47679.76
2,0,5,55,1304014.60,0.29,41976.76
2,0,5,42,1262168.98,0.29,44526.14
2,0,5,81,842819.40,0.17,34182.06
2,0,5,1000,2386123.40,0.72,76729.90
2,1,5,42,502512.38,0.13,32243.62
2,1,5,777,694091.18,0.15,37131.06
2,1,5,55,2398025.40,0.70,59636.16
2,1,5,6,1319445.64,0.30,41141.90
2,1,5,20,1742470.96,0.43,51607.02
2,1,5,7,335631.24,0.11,32747.70
2,1,5,234,578736.00,0.13,29371.98
2,1,5,84,986616.92,0.21,39442.60
2,1,5,1000,2043552.20,0.53,64916.36
2,1,5,81,1538158.80,0.33,50229.44
2,0,6,42,544276.07,0.13,31419.57
2,0,6,777,268952.52,0.11,28996.98
2,0,6,20,592411.83,0.14,31697.48
2,0,6,55,796826.83,0.16,33812.23
2,0,6,234,389708.50,0.11,27638.85
2,0,6,6,914723.33,0.18,34773.88
2,0,6,84,907318.83,0.18,36585.53
2,0,6,7,1326806.17,0.28,44953.80
2,0,6,81,895847.17,0.19,36702.32
2,0,6,1000,1243020.00,0.26,43610.53
2,1,6,55,1029518.67,0.21,37013.37
2,1,6,42,658516.73,0.15,34828.92
2,1,6,777,533964.73,0.13,32028.05
2,1,6,6,1403211.17,0.33,44177.12
2,1,6,7,1097076.33,0.22,42381.52
2,1,6,20,1300372.17,0.30,46824.87
2,1,6,84,1054687.00,0.21,39757.23
2,1,6,234,807043.33,0.17,38117.68
2,1,6,1000,614465.67,0.14,30391.40
2,1,6,81,756298.50,0.16,34912.38
